,_para_k_sl,_para_k_tp,_para_range_k,annualized_returns,downside_risk,information_ratio,max_drawdown,sharpe,sortino,total_value,tracking_error,trades,unit_net_value,volatility,win_rate
83,0.05,0.5,0.25,-0.014,0.011,-0.66,0.019,-1.782,-3.444,98658.501,0.02,472,0.987,0.02,0.208
84,0.15,0.2,0.25,-0.007,0.016,-0.286,0.021,-1.265,-1.848,99315.376,0.023,476,0.993,0.023,0.412
85,0.15,0.3,0.25,0.01,0.016,0.376,0.02,-0.449,-0.756,100996.817,0.028,458,1.01,0.028,0.336
86,0.15,0.4,0.25,0.025,0.017,0.8,0.024,0.059,0.108,102422.92,0.031,448,1.024,0.031,0.317
87,0.15,0.5,0.25,0.023,0.017,0.711,0.026,0.0,0.0,102234.051,0.032,446,1.022,0.032,0.305
88,0.25,0.2,0.25,-0.021,0.022,-0.695,0.045,-1.443,-1.971,97875.091,0.03,460,0.979,0.03,0.5
89,0.25,0.3,0.25,-0.022,0.024,-0.63,0.053,-1.296,-1.861,97827.656,0.034,440,0.978,0.034,0.418
90,0.25,0.4,0.25,-0.005,0.024,-0.112,0.048,-0.732,-1.117,99525.817,0.037,426,0.995,0.037,0.394
91,0.25,0.5,0.25,-0.004,0.025,-0.096,0.045,-0.684,-1.069,99556.948,0.039,424,0.996,0.039,0.382
92,0.35,0.2,0.25,-0.046,0.028,-1.308,0.06,-1.951,-2.48,95443.867,0.035,446,0.954,0.035,0.552
93,0.35,0.3,0.25,-0.046,0.03,-1.183,0.078,-1.762,-2.309,95418.021,0.039,424,0.954,0.039,0.472
94,0.35,0.4,0.25,-0.018,0.03,-0.417,0.068,-0.967,-1.35,98216.182,0.041,410,0.982,0.041,0.459
95,0.35,0.5,0.25,-0.02,0.03,-0.437,0.068,-0.962,-1.374,98047.312,0.043,408,0.98,0.043,0.441
96,0.45,0.2,0.25,-0.043,0.033,-1.084,0.051,-1.656,-2.012,95728.439,0.04,436,0.957,0.04,0.601
97,0.45,0.3,0.25,-0.046,0.035,-1.053,0.07,-1.576,-1.977,95464.058,0.044,412,0.955,0.044,0.524
98,0.45,0.4,0.25,-0.039,0.035,-0.832,0.071,-1.329,-1.731,96182.708,0.046,398,0.962,0.046,0.492
99,0.45,0.5,0.25,-0.043,0.036,-0.889,0.071,-1.367,-1.813,95773.839,0.048,396,0.958,0.048,0.475
100,0.05,0.2,0.3,-0.014,0.007,-1.322,0.02,-3.413,-5.09,98574.304,0.011,328,0.986,0.011,0.305
101,0.05,0.3,0.3,-0.021,0.007,-1.814,0.029,-3.806,-5.901,97955.772,0.011,326,0.98,0.011,0.245
102,0.05,0.4,0.3,-0.02,0.008,-1.655,0.028,-3.494,-5.702,97978.273,0.012,322,0.98,0.012,0.23
103,0.05,0.5,0.3,-0.024,0.008,-1.995,0.033,-3.839,-6.123,97578.273,0.012,322,0.976,0.012,0.217
104,0.15,0.2,0.3,-0.002,0.013,-0.124,0.022,-1.342,-1.928,99753.822,0.019,326,0.998,0.019,0.417
105,0.15,0.3,0.3,-0.006,0.014,-0.245,0.026,-1.253,-1.998,99426.737,0.023,322,0.994,0.023,0.323
106,0.15,0.4,0.3,-0.02,0.015,-0.862,0.042,-1.856,-2.9,98031.66,0.023,314,0.98,0.023,0.274
107,0.15,0.5,0.3,-0.028,0.015,-1.22,0.049,-2.223,-3.408,97263.245,0.023,312,0.973,0.023,0.263
108,0.25,0.2,0.3,-0.029,0.019,-1.228,0.042,-2.177,-2.75,97088.346,0.024,322,0.971,0.024,0.497
109,0.25,0.3,0.3,-0.035,0.021,-1.266,0.051,-2.083,-2.824,96521.25,0.028,318,0.965,0.028,0.415
110,0.25,0.4,0.3,-0.046,0.021,-1.611,0.061,-2.406,-3.272,95478.037,0.029,308,0.955,0.029,0.37
111,0.25,0.5,0.3,-0.055,0.022,-1.888,0.071,-2.657,-3.549,94559.622,0.03,306,0.946,0.03,0.346
112,0.35,0.2,0.3,-0.041,0.023,-1.455,0.049,-2.261,-2.723,95960.823,0.028,318,0.96,0.028,0.553
113,0.35,0.3,0.3,-0.041,0.025,-1.26,0.054,-1.963,-2.557,95983.727,0.032,314,0.96,0.032,0.471
114,0.35,0.4,0.3,-0.045,0.026,-1.302,0.061,-1.962,-2.619,95580.514,0.035,304,0.956,0.035,0.434
115,0.35,0.5,0.3,-0.055,0.027,-1.565,0.071,-2.203,-2.891,94542.098,0.036,302,0.945,0.036,0.411
116,0.45,0.2,0.3,-0.042,0.029,-1.266,0.054,-1.947,-2.237,95830.876,0.033,316,0.958,0.033,0.608
117,0.45,0.3,0.3,-0.045,0.031,-1.174,0.06,-1.773,-2.166,95595.245,0.038,310,0.956,0.038,0.523
118,0.45,0.4,0.3,-0.057,0.032,-1.44,0.07,-2.008,-2.49,94362.031,0.04,300,0.944,0.04,0.48
119,0.45,0.5,0.3,-0.069,0.033,-1.7,0.085,-2.252,-2.79,93203.616,0.041,298,0.932,0.041,0.456
120,0.05,0.6,0.05,-0.035,0.021,-0.911,0.063,-1.509,-2.75,96543.93,0.038,1250,0.965,0.038,0.152
121,0.05,0.7,0.05,-0.035,0.021,-0.845,0.056,-1.406,-2.722,96578.319,0.041,1226,0.966,0.041,0.15
122,0.05,0.8,0.05,-0.028,0.021,-0.65,0.051,-1.191,-2.401,97232.388,0.042,1220,0.972,0.042,0.148
123,0.05,0.9,0.05,-0.027,0.021,-0.61,0.049,-1.14,-2.344,97343.833,0.043,1218,0.973,0.043,0.146
124,0.15,0.6,0.05,0.054,0.037,0.925,0.045,0.536,0.847,105350.282,0.059,1084,1.054,0.059,0.314
125,0.15,0.7,0.05,0.047,0.037,0.774,0.05,0.401,0.655,104613.672,0.061,1046,1.046,0.061,0.3
126,0.15,0.8,0.05,0.063,0.038,0.965,0.043,0.615,1.068,106215.829,0.065,1028,1.062,0.065,0.292
127,0.15,0.9,0.05,0.06,0.038,0.915,0.043,0.568,0.995,105924.635,0.066,1014,1.059,0.066,0.286
128,0.25,0.6,0.05,0.052,0.044,0.795,0.061,0.453,0.69,105159.762,0.067,960,1.052,0.067,0.398
129,0.25,0.7,0.05,0.042,0.044,0.631,0.061,0.301,0.473,104173.968,0.069,920,1.042,0.069,0.385
130,0.25,0.8,0.05,0.066,0.044,0.922,0.058,0.603,0.983,106484.462,0.071,904,1.065,0.071,0.378
131,0.25,0.9,0.05,0.063,0.044,0.887,0.056,0.571,0.933,106263.218,0.072,890,1.063,0.072,0.371
132,0.35,0.6,0.05,0.05,0.05,0.711,0.043,0.394,0.571,104936.122,0.072,866,1.049,0.072,0.46
133,0.35,0.7,0.05,0.053,0.05,0.72,0.05,0.416,0.625,105199.235,0.075,828,1.052,0.075,0.449
